,sample,group,dataset,Group
435,GSM252830,AdvancedCOPD,GSE10006,GSE10006AdvancedCOPD
436,GSM252831,AdvancedCOPD,GSE10006,GSE10006AdvancedCOPD
437,GSM252832,AdvancedCOPD,GSE10006,GSE10006AdvancedCOPD
438,GSM252833,AdvancedCOPD,GSE10006,GSE10006AdvancedCOPD
439,GSM252834,AdvancedCOPD,GSE10006,GSE10006AdvancedCOPD
440,GSM252835,AdvancedCOPD,GSE10006,GSE10006AdvancedCOPD
441,GSM252836,AdvancedCOPD,GSE10006,GSE10006AdvancedCOPD
442,GSM252837,AdvancedCOPD,GSE10006,GSE10006AdvancedCOPD
443,GSM252838,AdvancedCOPD,GSE10006,GSE10006AdvancedCOPD
444,GSM252839,AdvancedCOPD,GSE10006,GSE10006AdvancedCOPD
445,GSM252840,AdvancedCOPD,GSE10006,GSE10006AdvancedCOPD
446,GSM252841,AdvancedCOPD,GSE10006,GSE10006AdvancedCOPD
447,GSM252842,EarlyCOPD,GSE10006,GSE10006EarlyCOPD
448,GSM252843,EarlyCOPD,GSE10006,GSE10006EarlyCOPD
449,GSM252844,EarlyCOPD,GSE10006,GSE10006EarlyCOPD
450,GSM252845,EarlyCOPD,GSE10006,GSE10006EarlyCOPD
451,GSM252846,EarlyCOPD,GSE10006,GSE10006EarlyCOPD
452,GSM252847,EarlyCOPD,GSE10006,GSE10006EarlyCOPD
453,GSM252848,EarlyCOPD,GSE10006,GSE10006EarlyCOPD
454,GSM252849,EarlyCOPD,GSE10006,GSE10006EarlyCOPD
455,GSM252850,EarlyCOPD,GSE10006,GSE10006EarlyCOPD
456,GSM252851,EarlyCOPD,GSE10006,GSE10006EarlyCOPD
457,GSM252852,EarlyCOPD,GSE10006,GSE10006EarlyCOPD
458,GSM252853,EarlyCOPD,GSE10006,GSE10006EarlyCOPD
459,GSM252854,EarlyCOPD,GSE10006,GSE10006EarlyCOPD
460,GSM252855,S_nonsmoker,GSE10006,GSE10006S_nonsmoker
461,GSM252856,S_nonsmoker,GSE10006,GSE10006S_nonsmoker
462,GSM252857,S_nonsmoker,GSE10006,GSE10006S_nonsmoker
463,GSM252858,S_nonsmoker,GSE10006,GSE10006S_nonsmoker
464,GSM252859,S_nonsmoker,GSE10006,GSE10006S_nonsmoker
465,GSM252860,S_nonsmoker,GSE10006,GSE10006S_nonsmoker
466,GSM252861,S_nonsmoker,GSE10006,GSE10006S_nonsmoker
467,GSM252862,S_nonsmoker,GSE10006,GSE10006S_nonsmoker
468,GSM252863,S_nonsmoker,GSE10006,GSE10006S_nonsmoker
469,GSM252864,S_nonsmoker,GSE10006,GSE10006S_nonsmoker
470,GSM252865,S_nonsmoker,GSE10006,GSE10006S_nonsmoker
471,GSM252866,S_nonsmoker,GSE10006,GSE10006S_nonsmoker
472,GSM252867,S_nonsmoker,GSE10006,GSE10006S_nonsmoker
473,GSM252868,S_smoker,GSE10006,GSE10006S_smoker
474,GSM252869,S_smoker,GSE10006,GSE10006S_smoker
475,GSM252870,S_smoker,GSE10006,GSE10006S_smoker
476,GSM252871,S_smoker,GSE10006,GSE10006S_smoker
477,GSM252872,S_smoker,GSE10006,GSE10006S_smoker
478,GSM252873,S_smoker,GSE10006,GSE10006S_smoker
479,GSM252874,S_smoker,GSE10006,GSE10006S_smoker
480,GSM252875,S_smoker,GSE10006,GSE10006S_smoker
481,GSM252876,S_smoker,GSE10006,GSE10006S_smoker
482,GSM252877,S_smoker,GSE10006,GSE10006S_smoker
483,GSM252878,S_smoker,GSE10006,GSE10006S_smoker
484,GSM252879,S_smoker,GSE10006,GSE10006S_smoker
485,GSM252880,S_smoker,GSE10006,GSE10006S_smoker
486,GSM252881,S_smoker,GSE10006,GSE10006S_smoker
487,GSM252882,S_smoker,GSE10006,GSE10006S_smoker
488,GSM252883,S_smoker,GSE10006,GSE10006S_smoker
489,GSM252884,S_smoker,GSE10006,GSE10006S_smoker
490,GSM252885,S_smoker,GSE10006,GSE10006S_smoker
491,GSM276209,untreated,GSE10896,GSE10896untreated
492,GSM276211,ROS_untreated,GSE10896,GSE10896ROS_untreated
493,GSM276213,untreated,GSE10896,GSE10896untreated
494,GSM276215,ROS_untreated,GSE10896,GSE10896ROS_untreated
495,GSM276217,untreated,GSE10896,GSE10896untreated
496,GSM276219,ROS_untreated,GSE10896,GSE10896ROS_untreated
497,GSM276221,untreated,GSE10896,GSE10896untreated
498,GSM276223,ROS_untreated,GSE10896,GSE10896ROS_untreated
499,GSM276225,untreated,GSE10896,GSE10896untreated
500,GSM276227,ROS_untreated,GSE10896,GSE10896ROS_untreated
501,GSM276229,untreated,GSE10896,GSE10896untreated
502,GSM276231,ROS_untreated,GSE10896,GSE10896ROS_untreated
503,GSM661721,BE,GSE26886,GSE26886BE
504,GSM661722,BE,GSE26886,GSE26886BE
505,GSM661723,BE,GSE26886,GSE26886BE
506,GSM661724,BE,GSE26886,GSE26886BE
507,GSM661725,BE,GSE26886,GSE26886BE
508,GSM661726,BE,GSE26886,GSE26886BE
509,GSM661727,BE,GSE26886,GSE26886BE
510,GSM661728,BE,GSE26886,GSE26886BE
511,GSM661729,BE,GSE26886,GSE26886BE
512,GSM661730,BE,GSE26886,GSE26886BE
513,GSM661731,BE,GSE26886,GSE26886BE
514,GSM661732,BE,GSE26886,GSE26886BE
515,GSM661733,BE,GSE26886,GSE26886BE
516,GSM661734,BE,GSE26886,GSE26886BE
517,GSM661735,BE,GSE26886,GSE26886BE
518,GSM661736,BE,GSE26886,GSE26886BE
519,GSM661737,BE,GSE26886,GSE26886BE
520,GSM661738,BE,GSE26886,GSE26886BE
521,GSM661739,BE,GSE26886,GSE26886BE
522,GSM661740,BE,GSE26886,GSE26886BE
523,GSM661741,EA,GSE26886,GSE26886EA
524,GSM661742,EA,GSE26886,GSE26886EA
525,GSM661743,EA,GSE26886,GSE26886EA
526,GSM661744,EA,GSE26886,GSE26886EA
527,GSM661745,EA,GSE26886,GSE26886EA
528,GSM661746,EA,GSE26886,GSE26886EA
529,GSM661747,EA,GSE26886,GSE26886EA
530,GSM661748,EA,GSE26886,GSE26886EA
531,GSM661749,EA,GSE26886,GSE26886EA
532,GSM661750,EA,GSE26886,GSE26886EA
533,GSM661751,EA,GSE26886,GSE26886EA
534,GSM661752,EA,GSE26886,GSE26886EA
535,GSM661753,EA,GSE26886,GSE26886EA
536,GSM661754,EA,GSE26886,GSE26886EA
537,GSM661755,EA,GSE26886,GSE26886EA
538,GSM661756,EA,GSE26886,GSE26886EA
539,GSM661757,EA,GSE26886,GSE26886EA
540,GSM661758,EA,GSE26886,GSE26886EA
541,GSM661759,EA,GSE26886,GSE26886EA
542,GSM661760,EA,GSE26886,GSE26886EA
543,GSM661761,EA,GSE26886,GSE26886EA
544,GSM661762,control,GSE26886,GSE26886control
545,GSM661763,control,GSE26886,GSE26886control
546,GSM661764,control,GSE26886,GSE26886control
547,GSM661765,control,GSE26886,GSE26886control
548,GSM661766,control,GSE26886,GSE26886control
549,GSM661767,control,GSE26886,GSE26886control
550,GSM661768,control,GSE26886,GSE26886control
551,GSM661769,control,GSE26886,GSE26886control
552,GSM661770,control,GSE26886,GSE26886control
553,GSM661771,control,GSE26886,GSE26886control
554,GSM661772,control,GSE26886,GSE26886control
555,GSM661773,control,GSE26886,GSE26886control
556,GSM661774,control,GSE26886,GSE26886control
557,GSM661775,control,GSE26886,GSE26886control
558,GSM661776,control,GSE26886,GSE26886control
559,GSM661777,control,GSE26886,GSE26886control
560,GSM661778,control,GSE26886,GSE26886control
561,GSM661779,control,GSE26886,GSE26886control
562,GSM661780,control,GSE26886,GSE26886control
563,GSM661781,ESCC,GSE26886,GSE26886ESCC
564,GSM661782,ESCC,GSE26886,GSE26886ESCC
565,GSM661783,ESCC,GSE26886,GSE26886ESCC
566,GSM661784,ESCC,GSE26886,GSE26886ESCC
567,GSM661785,ESCC,GSE26886,GSE26886ESCC
568,GSM661786,ESCC,GSE26886,GSE26886ESCC
569,GSM661787,ESCC,GSE26886,GSE26886ESCC
570,GSM661788,ESCC,GSE26886,GSE26886ESCC
571,GSM661789,ESCC,GSE26886,GSE26886ESCC
572,GSM927630,Nonsmoker,GSE37768,GSE37768Nonsmoker
573,GSM927631,Nonsmoker,GSE37768,GSE37768Nonsmoker
574,GSM927632,Nonsmoker,GSE37768,GSE37768Nonsmoker
575,GSM927633,Nonsmoker,GSE37768,GSE37768Nonsmoker
576,GSM927634,Nonsmoker,GSE37768,GSE37768Nonsmoker
577,GSM927635,Nonsmoker,GSE37768,GSE37768Nonsmoker
578,GSM927636,Nonsmoker,GSE37768,GSE37768Nonsmoker
579,GSM927637,Nonsmoker,GSE37768,GSE37768Nonsmoker
580,GSM927638,Nonsmoker,GSE37768,GSE37768Nonsmoker
581,GSM927639,Smoker,GSE37768,GSE37768Smoker
582,GSM927640,Smoker,GSE37768,GSE37768Smoker
583,GSM927641,Smoker,GSE37768,GSE37768Smoker
584,GSM927642,Smoker,GSE37768,GSE37768Smoker
585,GSM927643,Smoker,GSE37768,GSE37768Smoker
586,GSM927644,Smoker,GSE37768,GSE37768Smoker
587,GSM927645,Smoker,GSE37768,GSE37768Smoker
588,GSM927646,Smoker,GSE37768,GSE37768Smoker
589,GSM927647,Smoker,GSE37768,GSE37768Smoker
590,GSM927648,Smoker,GSE37768,GSE37768Smoker
591,GSM927649,Smoker,GSE37768,GSE37768Smoker
592,GSM927650,COPD,GSE37768,GSE37768COPD
593,GSM927651,COPD,GSE37768,GSE37768COPD
594,GSM927652,COPD,GSE37768,GSE37768COPD
595,GSM927653,COPD,GSE37768,GSE37768COPD
596,GSM927654,COPD,GSE37768,GSE37768COPD
597,GSM927655,COPD,GSE37768,GSE37768COPD
598,GSM927656,COPD,GSE37768,GSE37768COPD
599,GSM927657,COPD,GSE37768,GSE37768COPD
600,GSM927658,COPD,GSE37768,GSE37768COPD
601,GSM927659,COPD,GSE37768,GSE37768COPD
602,GSM927660,COPD,GSE37768,GSE37768COPD
603,GSM927661,COPD,GSE37768,GSE37768COPD
604,GSM927662,COPD,GSE37768,GSE37768COPD
605,GSM927663,COPD,GSE37768,GSE37768COPD
606,GSM927664,COPD,GSE37768,GSE37768COPD
607,GSM927665,COPD,GSE37768,GSE37768COPD
608,GSM927666,COPD,GSE37768,GSE37768COPD
609,GSM927667,COPD,GSE37768,GSE37768COPD
610,GSM2186533,FTC,GSE82208,GSE82208FTC
611,GSM2186534,FTC,GSE82208,GSE82208FTC
612,GSM2186535,FTC,GSE82208,GSE82208FTC
613,GSM2186536,FTA,GSE82208,GSE82208FTA
614,GSM2186537,FTC,GSE82208,GSE82208FTC
615,GSM2186538,FTC,GSE82208,GSE82208FTC
616,GSM2186539,FTC,GSE82208,GSE82208FTC
617,GSM2186540,FTC,GSE82208,GSE82208FTC
618,GSM2186541,FTC,GSE82208,GSE82208FTC
619,GSM2186542,FTC,GSE82208,GSE82208FTC
620,GSM2186543,FTA,GSE82208,GSE82208FTA
621,GSM2186544,FTC,GSE82208,GSE82208FTC
622,GSM2186545,FTA,GSE82208,GSE82208FTA
623,GSM2186546,FTC,GSE82208,GSE82208FTC
624,GSM2186547,FTA,GSE82208,GSE82208FTA
625,GSM2186548,FTC,GSE82208,GSE82208FTC
626,GSM2186549,FTC,GSE82208,GSE82208FTC
627,GSM2186550,FTA,GSE82208,GSE82208FTA
628,GSM2186551,FTC,GSE82208,GSE82208FTC
629,GSM2186552,FTA,GSE82208,GSE82208FTA
630,GSM2186553,FTA,GSE82208,GSE82208FTA
631,GSM2186554,FTA,GSE82208,GSE82208FTA
632,GSM2186555,FTA,GSE82208,GSE82208FTA
633,GSM2186556,FTA,GSE82208,GSE82208FTA
634,GSM2186557,FTA,GSE82208,GSE82208FTA
635,GSM2186558,FTA,GSE82208,GSE82208FTA
636,GSM2186559,FTA,GSE82208,GSE82208FTA
637,GSM2186560,FTA,GSE82208,GSE82208FTA
638,GSM2186561,FTA,GSE82208,GSE82208FTA
639,GSM2186562,FTA,GSE82208,GSE82208FTA
640,GSM2186563,FTA,GSE82208,GSE82208FTA
641,GSM2186564,FTC,GSE82208,GSE82208FTC
642,GSM2186565,FTC,GSE82208,GSE82208FTC
643,GSM2186566,FTC,GSE82208,GSE82208FTC
644,GSM2186567,FTC,GSE82208,GSE82208FTC
645,GSM2186568,FTC,GSE82208,GSE82208FTC
646,GSM2186569,FTC,GSE82208,GSE82208FTC
647,GSM2186570,FTC,GSE82208,GSE82208FTC
648,GSM2186571,FTC,GSE82208,GSE82208FTC
649,GSM2186572,FTA,GSE82208,GSE82208FTA
650,GSM2186573,FTC,GSE82208,GSE82208FTC
651,GSM2186574,FTC,GSE82208,GSE82208FTC
652,GSM2186575,FTC,GSE82208,GSE82208FTC
653,GSM2186576,FTC,GSE82208,GSE82208FTC
654,GSM2186577,FTC,GSE82208,GSE82208FTC
655,GSM2186578,FTA,GSE82208,GSE82208FTA
656,GSM2186579,FTA,GSE82208,GSE82208FTA
657,GSM2186580,FTA,GSE82208,GSE82208FTA
658,GSM2186581,FTA,GSE82208,GSE82208FTA
659,GSM2186582,FTA,GSE82208,GSE82208FTA
660,GSM2186583,FTA,GSE82208,GSE82208FTA
661,GSM2186584,FTA,GSE82208,GSE82208FTA
662,GSM4251054,Untreated,GSE143155,GSE143155Untreated
663,GSM4251055,Untreated,GSE143155,GSE143155Untreated
664,GSM4251056,Untreated,GSE143155,GSE143155Untreated
665,GSM4251057,H2O2_treated,GSE143155,GSE143155H2O2_treated
666,GSM4251058,H2O2_treated,GSE143155,GSE143155H2O2_treated
667,GSM4251059,H2O2_treated,GSE143155,GSE143155H2O2_treated
668,GSM4251060,Untreated,GSE143155,GSE143155Untreated
669,GSM4251061,Untreated,GSE143155,GSE143155Untreated
670,GSM4251062,Untreated,GSE143155,GSE143155Untreated
671,GSM4251063,Untreated,GSE143155,GSE143155Untreated
672,GSM4251064,Untreated,GSE143155,GSE143155Untreated
673,GSM4251065,H2O2_treated,GSE143155,GSE143155H2O2_treated
674,GSM4251066,H2O2_treated,GSE143155,GSE143155H2O2_treated
675,GSM4251067,H2O2_treated,GSE143155,GSE143155H2O2_treated
676,GSM4251068,Untreated,GSE143155,GSE143155Untreated
677,GSM4251069,Untreated,GSE143155,GSE143155Untreated
678,GSM4251070,Untreated,GSE143155,GSE143155Untreated
679,GSM4251071,Untreated,GSE143155,GSE143155Untreated
680,GSM4251072,H2O2_treated,GSE143155,GSE143155H2O2_treated
681,GSM4251073,H2O2_treated,GSE143155,GSE143155H2O2_treated
682,GSM4251074,Untreated,GSE143155,GSE143155Untreated
683,GSM4251075,Untreated,GSE143155,GSE143155Untreated
684,GSM4251076,Untreated,GSE143155,GSE143155Untreated
685,GSM4251077,H2O2_treated,GSE143155,GSE143155H2O2_treated
686,GSM4251078,H2O2_treated,GSE143155,GSE143155H2O2_treated
687,GSM4251079,Untreated,GSE143155,GSE143155Untreated
688,GSM4251080,Untreated,GSE143155,GSE143155Untreated
689,GSM4251081,Untreated,GSE143155,GSE143155Untreated
690,GSM4251082,H2O2_treated,GSE143155,GSE143155H2O2_treated
691,GSM4251083,H2O2_treated,GSE143155,GSE143155H2O2_treated
